ALIMENTO (premi QUI e poi premi CTRL+MAIUSC+T per cercare un alimento);Parte edibile (g);Energia Kcal;Energia KJ;Acqua (g);Prot tot (g);Prot anim;Prot veg;Glucidi tot;Amido;Glucidi solub;Lipidi tot;Saturi tot;Monoins tot;Polins tot;Ac. oleico;Ac. linoleico;Ac. linolenico;altri Polins;Colest;Fibre alim;alcool;Ferro;Ca;Na;K;P;Zn;Vit B1;Vit B2;Vit B3;Vit C;Vit B6;Folico;Retinolo eq;Beta carotene eq;Vit E;Vit D
ACCIUGHE o ALICI [ENGRAULIS ENCHRASICHOL];75;96;402;76,5;16,8;16;0;1,5;0;1,5;2,6;0,69;0,63;0,88;0,34;0,05;0;0;70;0;0;2,8;148;104;278;196;1,5;0,06;0,26;14;0;0,14;9;32;2;0,29;11
ACCIUGHE o ALICI SOTTO SALE;50;128;536;53,8;25;25;0;0;0;0;3,1;0,82;0,76;1,05;0,4;0,06;0;0;70;0;0;6,9;542;3604;215;481;1,7;0,06;0,26;14;0;0,14;8;55;2;0,29;4
ACCIUGHE o ALICI SOTT'OLIO;100;206;862;56;25,9;25;0;0,2;0;0,2;11,3;2,21;6,17;2,24;5,33;0,8;0,11;1;120;0;0;1,3;44;480;700;351;2,2;0,06;0,2;6,5;0;0,18;8;58;2;0,31;5
ACETO;100;4;17;99;0,4;0;0,4;0,6;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0,5;15;20;89;32;0,6;0;0;0;0;0;0;0;0;0;0
ACQUA;100;0;0;99,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
ACQUA TONICA;100;33;138;91,1;0;0;0;8,8;0;8,8;0;0;0;0;0;0;0;0;0;0;0;2;1;4;0;0;2;0;0;0;0;0;0;0;0;0;0
AGAR AGAR [EUCHEUMA spp], secco;100;16;67;9,7;1,6;0;1,6;2;0;2;1,2;0,24;0,11;0,41;0,04;0,02;2;0;0;81,1;0;20,6;760;110;110;50;14,4;0,01;0,22;0,2;0;2;0;0;0;2;0
AGLIO [ALLIUM SATIVUM], fresco;75;41;172;80;0,9;0;0,9;8,4;0;8,4;0,6;0,11;0,01;0,3;0,01;0,27;0,02;0;0;2,3;0;1,5;14;2;347;63;0,6;0,14;0,02;1,3;5;0,21;3;5;30;0,01;0
AGLIO, in polvere;100;246;1029;6,5;18,7;0;18,7;42,7;38,5;4,2;1,2;0,21;0,03;0,6;0,03;0,55;0,05;0;0;9,9;0;3,9;65;19;1360;220;2,6;0,47;0,12;0,7;0;0,99;0;2;2;0,03;0
AGNELLO [OVIS AGNUS];83;162;678;70,1;20,8;20;0;0;0;0;8,8;4,15;3,25;0,41;3,14;0,2;0,2;0;71;0;0;1,6;7;88;350;190;3,3;0,14;0,28;6;0;0,3;6;2;0;0,09;0
AGNELLO, CARNE GRASSA;100;279;1167;58;18;18;0;0;0;0;23;10,86;8,49;1,07;8,21;0,54;0,54;0;79;0;0;2;10;100;350;200;2;0,1;0,19;3,8;0;0,23;3;12;2;0,07;0
AGNELLO, CARNE MAGRA;100;121;506;73;20;20;0;0;0;0;4,6;2,17;1,7;0,21;1,64;0,11;0,11;0;71;0;0;2;10;100;350;196;3,3;0,1;0,2;4,9;0;0,3;6;6;2;0,09;0
AGNELLO, CARNE SEMIGRASSA;100;211;883;65;19;19;0;0;0;0;15;7,08;5,54;0,7;5,36;0,35;0,35;0;71;0;0;2;10;100;350;200;2,6;0,1;0,19;4;0;0,19;2;10;2;0,07;0
AGNELLO, CORATELLA;100;110;460;77,2;15,7;15;0;1,2;0;1,2;4,7;1,66;1,32;0,56;1,15;0,23;0,11;0;240;0;0;8,8;9;103;290;282;2,8;0,45;2,04;10,3;18;0,36;92;7500;36;0,54;0
AGNELLO, COSTOLETTE;77;386;1615;48,7;14,6;14;0;0;0;0;36,3;17,14;13,4;1,69;12,96;0,85;0,85;0;71;0;0;1,2;7;60;230;130;1,9;0,09;0,16;3,9;0;0,34;11;2;2;0,07;0
AGRETTI [LEPIDUM SATIVUM];97;17;71;92,3;1,8;0;1,8;2,2;0;2,2;0,2;0,01;0,07;0,07;0,02;0,04;0,02;0;0;2,3;0;1,2;131;14;606;34;0,2;0,03;0,19;0,8;24;0,25;80;392;2352;0,7;0
ALBICOCCHE (PRUNUS ARMENIACA);94;28;117;86,3;0,4;0;0,4;6,8;0;6,8;0,1;0,01;0,04;0,02;0,04;0,02;0;0;0;1,5;0;0,5;16;1;320;16;0,1;0,03;0,03;0,5;13;0,08;5;360;2160;0,61;0
ALBICOCCHE, polpa secca;100;188;787;14,7;4,8;0;4,8;43,4;0;43,4;0,7;0,05;0,3;0,14;0,3;0,14;0;0;0;21,6;0;4,1;92;56;1880;120;0,7;2;0,2;3;2;0,17;14;108;645;1,9;0
ALCOOL PURO;100;516;2159;5,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLORO [LAURUS NOBILIS], secco;100;313;1310;5,4;7,6;0;7,6;48,6;2;48,6;8,4;2,29;1,65;2,3;1,51;1,25;1,05;0;0;26,3;0;43;830;23;530;110;3,7;0,01;0,42;2;0;1;0;618;3710;1,79;0
AMARENE [PRUNUS CERASUS];85;41;172;84,2;0,8;0;0,8;10,2;0;10,2;0;0;0;0;0;0;0;0;0;1,1;0;0,4;15;2;114;17;0,1;0,03;0,05;0,4;7;0,05;9;24;144;0,14;0
AMARI A BASSA GRADAZIONE;100;261;1092;47,5;2;0;2;32,8;0;32,8;0;0;0;0;0;0;0;0;0;0;19;0,1;5;12;34;7;2;2;2;2;0;2;2;2;2;0;0
AMARI AD ALTA GRADAZIONE;100;232;971;66,6;2;0;2;0,5;0;0,5;0;0;0;0;0;0;0;0;0;0;32;2;2;6;3;2;2;2;2;2;0;2;2;2;2;0;0
AMIDO;100;379;1586;9;0,4;0;0,4;100,1;100,1;0;0,2;0,04;0,06;0,1;0,06;0,1;0;0;0;2;0;0,4;13;9;3;11;0,1;0,1;0,02;0,1;0;0,2;2;2;2;0;0
ANANAS [ANANAS SATIVUS];57;40;167;86,4;0,5;0;0,5;10;0;10;0;0;0;0;0;0;0;0;0;1;0;0,5;17;2;250;8;0,1;0,05;0,01;0,2;17;0,09;5;7;42;0,1;0
ANANAS SCIROPPATA;100;77;322;77;0,3;0;0,3;20,2;0;20,2;2;0;0;0;0;0;0;0;0;0,9;0;0,4;13;1;94;5;0,1;0,05;0,02;0,2;12;0,09;1;7;40;0,08;0
ANATRA [ANAS BOSCHAS];80;159;665;68,8;21,4;21;0;0;0;0;8,2;2,29;4,18;1,23;3,79;1,1;0,13;0;110;0;0;1,3;12;110;290;200;1,9;0,19;0,18;7,7;0;0,34;25;80;2;0,02;0
ANGUILLA DI FIUME [ANGUILLA ANGUILLA];71;261;1092;61,5;11,8;11;0;0,1;0;0,1;23,7;4,79;14,61;1,92;5,63;0,4;0,88;0;117;0;0;1;31;65;217;218;3,4;0,15;0,2;3,5;2;0,34;16;1200;2;5,55;6
ANGUILLA DI MARE [ANGUILLA ANGUILLA];70;237;992;62,8;14,6;14;0;0,7;0;0,7;19,6;3,96;12,09;1,59;4,66;0,33;0,73;0;117;0;0;0,6;17;87;270;223;2,5;0,18;0,32;2,6;2;0,25;12;980;2;4,14;4
ANGUILLA MARINATA;88;259;1084;59,9;14,8;14;0;0,6;0;0,6;21,9;4,43;13,53;1,78;5,22;0,37;0,81;0;117;0;0;0,7;18;89;270;202;2,5;0,28;0,37;3,5;2;0,25;12;940;2;4,14;4
APERITIVI;100;186;778;3;3;3;3;17;0;17;0;0;0;0;0;0;0;0;0;0;17;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0
ARACHIDI [ARACHIS HYPOGEA] CRUDE;79;571;2389;7,1;26;0;26;11,2;6,7;4,5;47,2;6,73;21,76;13,4;21,27;12,97;0,42;0;0;7,3;0;3,2;60;2;670;239;3,5;1,52;0,09;13,8;2;0,59;110;0;0;10,09;0
ARACHIDI TOSTATE;65;597;2498;2,3;29;0;29;8,5;5,4;3,1;50;7,13;23,05;14,19;22,53;13,74;0,45;0;0;10,9;0;3,5;64;6;680;283;3,9;0,16;0,08;14;0;0,54;66;0;0;1,11;0
ARACHIDI TOSTATE E SALATE;100;602;2519;1,9;24,5;0;24,5;7,1;3,3;3,8;53;7,56;24,43;15,04;23,88;14,56;0,48;0;0;6,9;0;1,3;37;400;810;410;2,9;0,18;0,1;13,6;0;0,63;52;0;0;0,66;0
ARAGOSTA [PALINURUS ELEPHAS];29;86;360;78,1;16,2;16;0;1;0;2;1,9;0,3;0,35;0,74;0,26;0,02;0,01;0;164;0;0;0,8;60;177;180;280;5,7;0,15;0,18;2;2;0,15;1;2;2;1,47;2
ARANCE [CITRUS AURANTIUM];80;34;142;87,2;0,7;0;0,7;7,8;0;7,8;0,2;0,03;0,04;0,04;0,03;0,03;0,01;0;0;1,6;0;0,2;49;3;200;22;0,2;0,06;0,05;0,2;50;0,1;31;71;426;0,24;0
ARANCE, SCORZA;100;97;406;72,5;1,5;0;1,5;14,4;0;14,4;0,2;0,02;0,04;0,04;0,03;0,03;0,01;0;0;10,6;0;0,8;161;3;212;21;0,3;0,12;0,09;0,9;136;0,18;30;42;252;0,24;0
ARANCIATA IN LATTINA;100;38;159;86;0,1;0;0,1;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0,3;11;2;18;5;0,2;2;2;2;1;2;1;16;94;2;0
ARINGA [CLUPEA HARENGUS];50;190;795;68;17,8;17;0;0;0;0;13,2;2,63;6,82;2,06;1,86;0,17;0,15;1;50;0;0;1,2;60;120;320;230;0,9;0,01;0,26;4,1;2;0,44;9;44;2;0,76;19
ARINGA AFFUMICATA;70;194;812;62,5;19,9;19;0;0;0;0;12,7;2,53;6,56;1,98;1,79;0,17;0,14;1;82;0;0;1,4;66;918;447;254;1,4;0,13;0,28;3,3;2;0,41;14;9;2;1;16
ARINGA MARINATA;95;199;833;60,2;18,3;18;0;0;0;0;14;2,79;7,23;2,19;1,97;0,18;0,16;1;42;0;0;0,7;30;1030;98;150;0,3;0,05;0,21;3,3;2;0,11;1;46;2;0,64;16
ARINGA SALATA;73;218;912;48,8;19,8;19;0;0;0;0;15,4;3,07;7,96;2,41;2,17;0,2;0,18;2;42;0;0;1,9;112;4096;366;293;1,9;0,04;0,29;3;2;0,11;15;48;2;0,64;16
ASIAGO;100;356;1490;36;31,4;31;0;2;0;2;25,6;15,89;8,28;0,9;7;0,53;0,38;0;90;0;0;0,7;770;760;97;530;2,2;0,03;0,35;0,1;2;0,09;40;200;150;0,48;0
ASPARAGI DI BOSCO [ASPARAGUS OFFICINALIS];57;35;146;89,3;4,6;0;4,6;4;0;4;0,2;0,05;0,01;0,09;0,01;0,08;0,01;0;0;2,6;0;1,1;25;5;198;90;0,9;0,13;0,43;1,5;23;0,11;218;155;930;1,44;0
ASPARAGI DI CAMPO;87;29;121;91,4;3,6;0;3,6;3,3;0;3,3;0,2;0,05;0,01;0,09;0,01;0,08;0,01;0;0;2,1;0;1,2;25;2;240;77;0,3;0,21;0,29;1;18;0,09;175;82;492;1,16;0
ASPARAGI DI SERRA;52;24;100;92;3;0;3;3;0;3;0,1;0,02;2;0,04;2;0,04;2;0;0;2,1;0;1;24;2;278;65;0,8;0,27;0,25;0,9;24;0,09;175;13;78;1,16;0
ASPARAGI IN SCATOLA;100;19;79;94;2,1;0;2,1;0,9;0;0,9;0,7;0,15;0,02;0,28;0,02;0,27;0,02;0;0;1,6;0;1,8;16;287;172;43;0,4;0,06;0,1;1;18;0,11;96;53;318;0,43;0
ASTICE [HOMARUS VULGARIS];36;90;377;76,8;18,8;18;0;0,5;0;2;0,9;0,06;0,17;0,23;0,06;2;0,06;0;95;0;0;0,3;48;296;275;144;3;0,01;0,05;1,5;0;0,06;9;21;2;1,47;2
AVENA [AVENA SATIVA];100;389;1628;8,2;16,9;0;16,9;55,7;52,9;2,8;6,9;1,22;2,18;2,53;2,17;2,42;0,11;0;0;10,6;0;4,7;54;2;429;523;4;0,76;0,14;1;0;0,12;56;0;0;0,7;0
AVOCADO [PERSEA GRATISSIMA];76;231;967;64;4,4;0;4,4;1,8;2;1,8;23;2,7;17,28;2;16,51;1,89;0,08;0;0;3,3;0;0,6;13;2;450;44;0,5;0,09;0,12;1,1;18;0,47;14;14;84;4,19;0
BABA' AL RHUM;100;252;1054;49,4;5,9;4;1,3;41,4;22,9;18,5;5,7;2,81;1,83;0,37;1,62;0,3;0,07;0;151;0,9;3;2,3;22;315;74;40;0,6;0;0,11;0,5;0;0,05;9;0;0;2,35;2
BABACO [CARICA PENTAGONA];100;21;88;95;0,7;0;0,7;4,5;0;4,5;0,1;0,03;0,03;0,02;0,01;2;0,02;0;0;1,1;0;0,3;13;1;165;7;0,1;0,03;0,02;0,5;28;0,03;1;27;162;1,12;0
BACCALA' [MERLUCCIUS MERLUCCIUS], ammollato;82;95;397;75,6;21,6;21;0;0;0;0;1;0,19;0,14;0,34;0,09;0,01;2;0;50;0;0;2,3;31;2045;424;562;0,4;0,28;0,11;2,4;0;0,18;12;0;0;0,44;2
BACCALA', secco;75;122;510;52,4;29;29;0;0;0;0;0,7;0,14;0,1;0,24;0,06;0,01;2;0;82;0;0;1,8;224;3989;828;224;0,9;0,08;0,23;2,4;0;0,49;14;7;2;0,1;2
BANANA [MUSA SAPIENTIUM];65;66;276;76,8;1,2;0;1,2;15,5;2,7;12,8;0,3;0,1;0,03;0,09;0,03;0,04;0,05;0;0;1,8;0;0,8;7;1;350;28;0,2;0,06;0,06;0,7;16;0,29;14;45;270;0,27;0
BARBABIETOLE ROSSE [BETA VULGARIS, CV RAPA, FORMA RUBRA];82;20;84;91,3;1,1;0;1,1;4;0;4;0;0;0;0;0;0;0;0;0;2,6;0;0,4;20;84;300;21;0,4;0,03;0,02;0,2;7;0,02;101;2;2;2;0
BASILICO [OCIMUM BASILICUM], fresco;100;40;167;88;3,1;0;3,1;5,1;2;5,1;0,8;0,05;0,12;0,51;0,12;0,1;0,41;0;0;5,2;0;5,5;250;9;300;37;0,7;0,08;0,31;1,1;26;0,17;85;658;3950;1,7;0
BASILICO, secco macinato;100;251;1050;6,4;14,4;0;14,4;43,2;2;43,2;4;0,27;0,58;2,55;0,58;0,48;2,07;0;0;17,8;0;42;2110;34;3430;490;5,8;0,15;0,32;6,9;0;0,13;0;938;5630;9,15;0
BEVANDE GASSATE DIETETICHE;100;17;71;93,8;2;0;2;4,3;0;4,3;0;0;0;0;0;0;0;0;0;0;0;2;5;7;15;2;2;2;2;2;35;2;2;2;2;2;0
BIETA [BETA VULGARIS, CV CICLA];82;17;71;94,5;1,3;0;1,3;2,8;0;2,8;0,1;0,02;0,02;0,04;0,02;0,03;2;0;0;1,2;0;1;67;158;286;29;0,4;0,03;0,19;1,8;24;0,07;124;263;1578;1,05;0
BIETA IN SCATOLA;100;31;130;91;0,9;0;0,9;5,5;0;5,5;0,1;0,02;0,03;0,05;0,03;0,05;2;0;0;1,7;0;1,8;15;194;148;17;0,2;0,01;0,04;0,2;4;0,06;30;1;6;0,3;0
BIGNE';100;318;1331;37,4;4,6;3;1,6;43;13;30;15,4;7,37;5,04;1,16;4,45;0,97;0,17;0;189;0,5;0;0,7;31;240;360;66;0,1;0,02;0,07;0,3;2;0,03;8;268;88;1,25;0
BIRRA CHIARA;100;34;142;93,5;0,2;0;0,2;3,5;0;3,5;0;0;0;0;0;0;0;0;0;0;2;2;1;10;35;28;2;2;0,03;0;1;0,01;4;2;2;0;0
BIRRA SCURA;100;30;126;93,3;0,3;0;0,3;3;0;3;2;2;2;2;2;2;2;2;0;2;2;0;7;16;33;11;0,3;2;0,02;0,3;0;0,01;4;2;2;0;0
BISCOTTI AL LATTE;100;417;1745;5;13,8;5;8,7;76,1;40,4;35,7;8,5;1,7;3,7;2,65;3,69;2,53;0,12;0;26;1,2;0;1,9;104;491;366;225;0,4;0,29;0,26;2,4;2;0,03;11;2;2;3,77;0
BISCOTTI FROLLINI;100;493;2063;2;7,4;4;3;68,5;48,5;20;21;10,45;7,16;2,17;6,78;1,63;0,1;0;74;1,5;0;1,8;87;275;110;85;0,6;0,16;0,04;0,9;0;0,05;13;0;0;1,3;0
BISCOTTI INTEGRALI;100;448;1874;3;8,5;3;5,4;59,5;42,5;17;19,5;5,96;8;4,26;7,55;4,01;0,23;0;9;8;0;3,5;110;314;390;340;2,8;0,34;0,16;4,9;1;0,36;27;79;28;1,76;0
BISCOTTI PER L'INFANZIA;100;417;1745;5,3;13,8;3;10,3;76,1;40,4;35,7;8,5;2,41;4,8;0,72;4,8;0,64;0,03;0;0;0,2;0;0,9;22;410;140;157;1,1;0,08;0,19;0,5;40;0,6;10;2;0;0,46;2
BISCOTTI 'PETIT BEURRE';100;415;1736;4;6;2;3,8;84,7;54,6;30,1;8,2;4,67;2,25;0,43;2,07;0,3;0,12;0;87;0,4;0;1;32;241;111;144;0,6;0,18;0,14;0,9;0;0,04;6;2;2;1,4;0
BISCOTTI RICOPERTI AL CIOCCOLATO;100;524;2192;2,2;5,7;2;3,2;67,4;24;43,4;27,6;5,55;15,85;3,6;15,82;3,54;0,06;0;2;2,9;0;1,7;110;160;230;130;0,8;0,03;0,13;0,5;0;0,04;5;2;2;1,43;0
BISCOTTI SAVOIARDO;100;392;1640;8,5;11,9;9;2,6;69,8;30,5;39,3;9,2;2,83;3,47;1,11;3,17;0,97;2;0;261;1,8;0;2;40;82;120;180;1;0,1;0,12;2;0;0,08;18;0;0;1,02;0
BISCOTTI WAFERS;100;454;1900;4;7,1;4;2,4;77,6;50,9;26,7;15;3,86;8;1,8;7,97;1,76;0,03;2;24;1,6;0;1,6;73;70;160;83;0,6;0,09;0,08;0,5;0;0,03;11;0;0;1,9;0
BISCOTTO PER LA PRIMA COLAZIONE;100;418;1749;2,2;6,6;2;4,2;85,4;66,9;18,5;7,9;3,06;2,96;1,22;2,61;1,12;0,09;0;128;5,7;0;0,9;22;410;140;157;0,6;0,08;0,19;0,5;0;0,06;13;2;2;1,4;0
BOVINO, CERVELLO;100;157;657;76,6;9,8;9;0;0,8;0;0,8;12,7;2,95;2,53;1,46;2,02;0,03;0;1;2000;0;0;3,6;16;140;270;330;1,2;0,25;0,28;6;18;0,26;4;0;0;1,2;2
BOVINO, CUORE;100;123;515;75,5;16,8;16;0;0,5;0;0,5;6;2,94;1,59;0,18;1,38;0,12;0,02;0;150;0;0;4,6;9;95;320;203;1,8;0,58;0,89;8,2;6;0,23;4;3;0;0,77;1
BOVINO, FEGATO;100;146;611;70;21;21;0;5,9;0;5,9;4,4;1,62;0,7;0,92;0,59;0,24;0,08;0;300;0;0;8,8;7;81;320;350;4;0,26;3,3;13,5;31;0,83;330;16500;1758;0,24;0
BOVINO, LESSATO IN GELATINA, IN SCATOLA;100;87;364;79;13,9;13;0;0;0;0;3,5;1,48;1,71;0,15;1,45;0,07;0,05;0;65;0;0;1,7;20;950;140;100;5,6;0,15;0,18;4,7;0;0,06;2;0;0;0,78;2
BOVINO, LINGUA;100;231;967;64;17,1;17;0;0,4;0;0,4;18;7,71;8,23;1,01;7,33;0,65;0;0;78;0;0;2,8;9;73;197;187;3,5;0,13;0,3;3,9;3;0,18;6;0;0;0,28;2
BOVINO, LINGUA SALMISTRATA;100;260;1088;56;22,5;22;0;0,2;0;0,2;18,8;8,18;8,46;1,05;7,65;0,68;0;0;87;0;0;3;6;86;315;133;2,9;0,13;0,34;4,2;3;0,31;7;0;0;0,1;2
BOVINO, MIDOLLO OSSEO;100;822;3439;5;3,2;3;0;0;0;0;89,9;27,34;15,64;23,03;13,92;9,98;0,99;12;300;0;0;3;89;3;3;2;3;2;0,01;5;0;3;3;3;3;3;3
BOVINO, MILZA;100;107;448;75,3;18,5;18;0;0;0;0;3,7;1,57;1,81;0,16;1,53;0,07;0,05;0;324;0;0;42;12;85;429;250;2,1;0,28;0,39;4,4;46;0,07;3;147;0;3;3
BOVINO, POLMONE;100;75;314;83;14;14;0;0;0;0;2,1;0,72;0,54;0,29;0,39;0,14;0,02;0;168;0;0;6,7;15;198;340;173;1,3;0,23;0,25;2;40;0,03;9;0;0;3;3
BOVINO, RENE;100;118;494;76,5;18,4;18;0;0,8;0;0,8;4,6;1,93;1,2;0,27;1,07;0,16;0,02;0;375;0;0;8;9;180;230;220;1,9;0,37;2,25;5,8;13;0,37;63;345;818;1,2;2
BOVINO, SANGUE;100;75;314;80,5;17,8;17;0;0,8;0;0,8;0,1;0,04;0,05;2;0,04;2;2;0;190;0;0;49;6;330;44;19;0,2;0,09;0,03;0,8;0;0;7;21;93;0,4;0
BOVINO, TRIPPA;100;108;452;72;15,8;15;0;0;0;0;5;2,57;2,2;0,09;1,46;0,06;0,03;0;64;0;0;4;8;107;18;50;0,7;0,14;0,18;1,6;3;2;7;0;0;0,08;2
BRA;100;328;1372;40;30,7;30;0;2;0;2;22,8;14,15;7,38;0,8;6,24;0,47;0,34;0;90;0;0;0,4;770;897;97;530;2,2;0,03;0,35;0,1;2;0,09;40;200;150;0,48;0
BRANDY;100;224;937;68;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;32;2;1;2;2;1;2;0;0;0;0;0;0;0;0;0;0
BRESAOLA;100;175;732;56,3;34;34;0;0;0;0;4,3;1,82;2,11;0,18;1,78;0,08;0,06;0;65;0;0;7,1;35;2733;323;200;4,1;0,12;0,6;2,4;0;0,53;19;2;2;0,13;0
BRIE;100;319;1335;48,6;19,3;19;0;2;0;2;26,9;16,92;7,79;0,8;6,38;0,5;0,3;0;100;0;0;0,8;540;700;100;390;2,2;0,04;0,43;0,4;2;0,15;58;320;210;0,84;0
BRIOCHES;100;413;1728;19,5;7,2;1;5,4;58,4;47,8;10,6;18,3;10,2;4,97;1,14;4,56;0,85;0,26;0;52;2,5;0;1,3;9;390;52;70;0,9;0,18;0,16;2;0;0,11;73;21;0;2;0
BRIOCHES CON CREMA;100;391;1636;23,5;6,9;2;4,9;55,6;43,5;12,1;17,1;9,44;4,71;1,09;4,32;0,82;0,24;0;54;2,3;0;1,3;18;355;58;77;1;0,17;0,16;1,8;0;0,11;68;30;4;0,05;0
BRIOCHES CON MARMELLATA;100;394;1648;21,2;6,5;1;4,9;58,4;43;15,4;16,5;9,18;4,47;1,03;4,1;0,77;0,23;0;47;2,5;0;1,3;10;352;57;64;0,8;0,16;0,15;1,9;2;0,1;66;19;0;0;0
BROCCOLETTI DI RAPE [BRASSICA RAPA, CV ESCULENTA];60;22;92;90,7;2,9;0;2,9;2;0;2;0,3;0,07;0,02;0,12;2;0,04;0,08;0;0;2,9;0;1,5;97;7;296;69;0,2;0,04;0,16;1;110;0,26;194;225;1350;2,24;0
BROCCOLO A TESTA [BRASSICA OLERACEA, CV BOTRYTIS CAPUT];51;27;113;90,3;3;0;3;3,1;0;3,1;0,4;0,06;0,03;0,19;0,03;0,04;0,15;0;0;3,1;0;0,8;28;12;340;66;0,6;0,04;0,12;1,8;54;0,17;132;2;12;0,88;0
BRODO DI CARNE E VERDURA;100;5;21;98,1;0,7;0;0,4;0,1;0,1;0;0,2;0,05;0,09;0,05;0,09;0,05;0,01;0;0;0;0;0,1;1;222;15;1;0;0,06;0,01;0;0;0,01;12;0;0;0;0
BRODO DI CARNE VARIA;100;7;29;97,6;1,1;1;0;2;2;2;0,2;0,11;0,09;0,01;0,08;0,01;2;0;0;2;0;0,2;6;326;54;13;0;2;0,02;0,8;0;0,01;23;0;0;0;0
BRODO DI DADO;100;3;13;98;0,3;0;0;0,1;0,1;2;0,4;0,2;0,16;0,02;0,15;0,01;2;0;0;2;0;0;1;366;10;7;0;2;0,01;0,1;0;0,01;23;2;0;0;0
BRODO DI GALLINA;100;9;38;96,8;0,6;0;0;0,6;2;0,6;0,5;0,11;0,17;0,15;0,15;0,14;0;2;2;2;0;2;6;608;10;5;2;2;2;0,1;0;0,01;23;5;0;0;0
BRODO VEGETALE;100;5;21;98;0,3;0;0,3;0,3;0,2;0,1;0,4;0,09;0,17;0,1;0,17;0,09;0,01;0;0;2;0;0,1;1;362;8;3;0;0,11;0,01;0,1;0;0;1;2;2;0;0
BUCCIA D'ARANCIA CANDITA;100;313;1310;16;0,2;0;0,2;82,7;0;82,7;0,2;0,02;0,04;0,04;0,03;0,03;0,01;0;0;1,1;0;1,5;65;27;24;5;0,1;0,07;0,05;0,2;3;2;2;20;120;2;0
BUDINO AL CIOCCOLATO;100;133;556;69,3;2,7;2;0,7;21,8;9,2;12,6;4;0,71;1,7;1,43;1,69;1,33;0,1;0;3;1;0;0,5;90;129;180;80;0,4;0,03;0,16;0,3;2;0,03;3;11;2;0,13;0
BUDINO ALLA VANIGLIA;100;130;544;71,2;2,3;1;0,6;21,8;9,2;12,6;3,6;0,57;1,54;1,34;1,53;1,24;0,09;0;7;0,1;0;0,1;88;135;113;68;0,3;0,02;0,14;0,3;0;0,01;0;6;2;0,13;0
BURRATA;100;396;1657;44,4;15,2;15;0;5,7;0;5,7;34,9;20,82;9,9;1,11;8,6;0,68;0,44;0;106;0;0;0,1;329;117;94;205;3,1;0,05;0,42;0,3;1;0,08;15;294;209;0,72;0
BURRINI;100;517;2163;26,5;22,1;22;0;1,6;0;1,6;47;27,57;13,04;1,5;11,42;0,88;0,62;0;176;0;0;0,4;433;353;62;256;2;0,01;0,16;0,3;0;0,04;5;585;309;1,18;0
BURRO;100;758;3171;14,1;0,8;0;0;1,1;0;1,1;83,4;48,78;23,72;2,75;20,68;1,57;1,18;0;250;0;0;0;15;7;15;16;0,6;2;2;2;0;2;2;806;450;2;0
BURRO DI ARACHIDI;100;623;2607;1,1;22,6;0;22,6;13,1;6,4;6,7;53,7;10,62;27,21;13,45;26,49;13,45;0;0;0;6,8;0;2,1;37;350;700;330;3;0,17;0,09;12,5;0;0,58;53;0;0;4,99;0
CACAO AMARO, IN POLVERE;100;355;1485;2,5;20,4;0;20,4;11,5;11,5;2;25,6;15,09;8,53;0,73;8,52;0,73;0;0;0;28,9;0;14,3;51;950;1500;685;6,9;0,08;0,3;1,7;0;0,07;38;7;42;0,8;0
CACAO DOLCE, IN POLVERE, SOLUBILE;100;349;1460;3;4,5;0;4,5;67,7;5,4;62,2;8,6;5,07;2,86;0,25;2,86;0,25;0;0;0;7,3;0;4,4;40;950;1500;660;6,9;0,04;0,14;1,7;0;0,07;38;1;7;0,68;0
CACIOCAVALLO;100;439;1837;30;37,7;37;0;2,1;0;2,1;31,1;19,95;8,64;0,9;7,2;0,58;0,32;0;90;0;0;0,3;860;1259;138;590;3,2;0,01;0,45;0,2;0;0,07;10;336;252;0,35;0
CACIOCAVALLO AFFUMICATO;100;439;1837;30;37,7;37;0;2,1;0;2,1;31,1;19,95;8,64;0,9;7,2;0,58;0,32;0;90;0;0;0,3;860;1259;138;590;3,2;0,01;0,45;0,2;0;0,07;10;336;252;0,35;0
CACIOTTA AFFUMICATA;100;364;1523;32,5;27,7;27;0;2,1;0;2,1;27,3;17,34;7,94;0,6;7,03;0,29;0,31;0;104;0;0;2,1;1160;1890;94;675;3,5;0,03;0,47;0,2;0;0,09;7;116;20;0,73;0
CACIOTTA ROMANA DI PECORA;100;364;1523;32,5;27,7;27;0;2,1;0;2,1;27,3;17,34;7,94;0,6;7,03;0,29;0,31;0;104;0;0;2,1;1160;1890;94;675;3,5;0,03;0,47;0,2;0;0,09;7;116;20;0,73;0
CACIOTTA TOSCANA;100;373;1561;42,8;24,6;24;0;2,1;0;2,1;29,6;18,37;9,58;1,04;8,1;0,61;0,44;0;90;0;0;0,6;618;514;68;496;3,2;0,02;0,32;0,2;0;0,07;10;264;198;0,35;0
