ALIMENTO (premi QUI e poi premi CTRL+MAIUSC+T per cercare un alimento);Parte edibile (g);Energia Kcal;Energia KJ;Acqua (g);Prot tot (g);Prot anim;Prot veg;Glucidi tot;Amido;Glucidi solub;Lipidi tot;Saturi tot;Monoins tot;Polins tot;Ac. oleico;Ac. linoleico;Ac. linolenico;altri Polins;Colest;Fibre alim;alcool;Ferro;Ca;Na;K;P;Zn;Vit B1;Vit B2;Vit B3;Vit C;Vit B6;Folico;Retinolo eq;Beta carotene eq;Vit E;Vit D
SALAME NOSTRANO;100;370;1548;37,3;27,3;27;0;1,1;0;1,1;28,5;9,33;12,93;4,04;11,73;3,75;0,21;0;94;0;0;1,9;65;2529;759;356;6,3;0,18;0,26;2,5;0;0,15;3;2;0;0,28;2
SALAME UNGHERESE;100;406;1699;36;24,2;24;0;0,7;0;0,7;34;9,74;15,36;5,45;13,99;4,79;0,27;0;94;0;0;1,6;68;2266;633;356;5;0,17;0,25;2,5;0;0,15;3;2;0;0,28;2
SALATINI;100;514;2151;2;7,2;0;7,2;71,1;63,9;7,2;24,3;7,06;13,67;3,22;13,11;2,74;0,26;0;0;3,3;0;2,2;38;1180;260;220;1,3;0,5;0,1;5,3;2;0,25;25;0;0;2,68;0
SALE da cucina;100;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;10;39300;89;1;0,1;0;0;0;0;0;0;0;0;0;0
SALMONE [SALMO SALAR];79;180;753;67,2;20,2;20;0;0;0;0;11;1,9;4,4;3,1;2,4;0,3;0,2;2;50;0;0;0,4;21;45;360;250;0,6;0,23;0,13;7,2;2;0,75;16;13;2;1,91;8
SALMONE AFFUMICATO;100;142;594;64,9;25,4;25;0;0;0;0;4,5;0,78;1,8;1,27;0,98;0,12;0,08;1;35;0;0;0,6;19;1880;420;250;0,4;0,16;0,17;8,8;2;0,28;2;13;2;1,35;2
SALMONE IN SALAMOIA;98;188;787;64,3;21,1;21;0;0;0;0;11,5;2,44;4,36;3,31;1,74;0,17;0,17;2;35;0;0;0,8;66;540;300;286;0,8;0,05;0,19;7;0;0,21;14;60;2;1,52;17
SALSICCIA DI FEGATO;100;424;1774;42,9;12,4;12;0;0,9;0;0,9;41,2;12;15,08;2,93;13,65;2,78;0,15;2;183;0;0;5,3;41;810;143;154;2,7;0,24;0,92;3,6;2;0,17;23;102;2;2,15;1
SALSICCIA DI SUINO E BOVINO, fresca;100;394;1648;44;14,2;14;0;0;0;0;37,4;14,16;17,72;3,18;15,89;2,63;0,54;0;55;0;0;3,2;18;1019;180;175;1,9;0,2;0,08;3;0;0,18;5;0;0;0,22;2
SALSICCIA DI SUINO, fresca;100;304;1272;53,6;15,4;15;0;0,6;0;0,6;26,7;12,22;8,29;4,9;7,36;4,85;0,04;0;62;0;0;2,8;20;1100;200;173;1,2;0,34;0,03;4;0;0,07;1;2;0;0,24;2
SALSICCIA DI SUINO, secca;100;514;2151;28,2;22;22;0;0;0;0;47,3;21,64;14,79;8,67;13,04;8,6;0,07;0;62;0;0;4,3;31;1702;309;266;1,2;0,31;0,2;4,6;0;0,06;1;0;0;0,43;2
SALVIA [SALVIA OFFICINALIS], fresca;100;119;498;66,4;3,9;0;3,9;15,6;2;15,6;4,6;2,54;0,68;0,64;0,63;0,19;0,44;0;0;14,7;0;10,3;600;4;390;33;1,7;0,11;0,34;5,7;2;1,21;0;215;1290;1,69;0
SALVIA, secca macinata;100;315;1318;8;10,6;0;10,6;42,7;2;42,7;12,7;7,03;1,87;1,76;1,75;0,53;1,23;0;0;18,1;0;28,1;1650;11;1070;91;4,7;0,11;0,34;5,7;0;0,38;0;590;3540;9,15;0
SARAGO [DIPLODUS SARGUS];54;103;431;76;15;15;0;1;0;1;4,4;0,57;0,85;2,48;0,41;2;0,22;2;70;0;0;1,2;38;77;350;264;0,5;0,08;0,1;2,8;2;0,19;5;48;2;0,4;2
SARDA [SARDINA PILCHARDUS];70;129;540;73;20,8;20;0;1,5;0;1,5;4,5;1,02;1,2;1,77;0,69;0,06;0;1;84;0;0;1,8;33;66;630;215;0,8;0,02;0,25;9,7;2;0,33;3;28;2;0,12;4
SARDINE SALATE;48;133;556;62;25,1;25;0;0;0;0;3,6;0,82;0,96;1,42;0,55;0,05;0;1;60;0;0;0,8;540;530;320;510;0,9;0,01;0,26;4,4;2;0,16;8;12;0;0,29;4
SARDINE SOTT'OLIO;73;198;828;57;22,3;22;0;0;0;0;12,1;2,4;4,98;4,38;3,43;2,23;0,34;1;140;0;0;2,8;613;480;410;368;2,2;0,12;0,34;7,4;2;0,18;8;6;2;0,27;4
SCALOGNO [ALLIUM ASCALONIUM];72;20;84;92,8;1,5;0;1,5;3,3;2;3,3;0,2;0,03;0,03;0,08;0,03;0,07;2;0;0;1,5;0;0,8;24;10;180;50;0,4;0,04;0,06;0,6;13;0,2;17;445;2669;0,31;0
SCAMORZA;100;209;874;58,7;22,7;22;0;7,2;0;7,2;10,1;6,28;2,85;0,3;2,45;0,21;0,09;0;65;0;0;0,2;392;137;38;229;4,3;0,05;0,51;0,4;2;0,09;19;268;170;0,33;0
